Date,Prev Close,Open,High,Low,Close,VWAP,Volume
2020-01-01,64.35,64.5,65.05,63.95,64.7,64.47,8568946
2020-01-02,64.7,65.0,67.0,64.55,66.7,66.16,26059066
2020-01-03,66.7,66.55,66.55,64.6,65.05,65.46,14906983
2020-01-06,65.05,64.9,64.9,61.0,61.4,61.96,24078755
2020-01-07,61.4,62.1,63.1,61.0,61.85,61.99,20436567
2020-01-08,61.85,61.0,61.6,60.15,60.85,60.81,22182671
2020-01-09,60.85,62.3,63.0,61.8,62.6,62.42,18885640
2020-01-10,62.6,62.95,63.85,62.05,62.45,62.92,17939103
2020-01-13,62.45,62.75,63.35,62.6,63.2,63.02,13131132
2020-01-14,63.2,63.2,64.1,62.4,62.8,63.19,13837799
2020-01-15,62.8,62.85,63.7,61.9,63.4,62.89,13919689
2020-01-16,63.4,63.4,63.95,62.75,63.35,63.38,12146474
2020-01-17,63.35,62.9,63.9,61.3,63.25,62.94,18351080
2020-01-20,63.25,64.1,64.1,61.35,61.6,62.15,16226531
2020-01-21,61.6,61.55,62.3,61.25,61.45,61.73,13678963
2020-01-22,61.45,62.1,62.2,60.65,61.0,61.19,15241802
2020-01-23,61.0,61.05,62.35,61.0,61.8,61.73,14136138
2020-01-24,61.8,61.75,62.8,61.65,62.35,62.32,10845058
2020-01-27,62.35,61.95,62.25,61.1,61.35,61.74,11436816
2020-01-28,61.35,61.5,61.8,60.25,60.5,61.16,12294470
2020-01-29,60.5,61.1,61.5,60.8,60.95,61.14,11064733
2020-01-30,60.95,61.1,61.25,59.65,59.95,60.24,13591961
2020-01-31,59.95,60.35,61.2,59.8,60.45,60.49,15449355
2020-02-01,60.45,60.45,61.0,58.8,59.0,60.0,13749850
2020-02-03,59.0,58.8,59.15,57.1,57.35,57.87,18930405
2020-02-04,57.35,57.9,58.95,56.3,56.8,57.74,48174279
2020-02-05,56.8,56.25,57.3,56.1,56.9,56.71,23905101
2020-02-06,56.9,57.35,59.3,56.9,58.65,58.16,26534154
2020-02-07,58.65,58.8,59.4,58.15,58.8,58.89,14094876
2020-02-10,58.8,58.75,58.9,56.95,57.25,57.66,12866342
2020-02-11,57.25,57.75,58.0,56.75,56.95,57.33,10942526
2020-02-12,56.95,57.45,57.45,55.15,55.5,55.91,16371273
2020-02-13,55.5,55.9,56.2,55.0,55.4,55.54,12379436
2020-02-14,55.4,55.7,56.05,54.0,54.2,54.86,15654307
2020-02-17,54.2,54.1,54.35,51.65,51.95,52.56,18893364
2020-02-18,51.95,51.9,52.5,49.9,52.0,51.07,22621843
2020-02-19,52.0,52.5,53.1,51.7,52.7,52.44,13554123
2020-02-20,52.7,52.5,53.7,52.05,52.85,52.98,14961174
2020-02-24,52.85,51.85,51.85,50.1,50.35,50.99,20135592
2020-02-25,50.35,50.4,50.7,49.75,49.9,50.2,15899668
2020-02-26,49.9,49.45,50.1,49.0,49.15,49.51,18056503
2020-02-27,49.15,49.1,49.3,46.8,46.95,47.57,26564325
2020-02-28,46.95,45.25,46.35,44.3,45.05,45.35,28222955
2020-03-02,45.05,46.3,46.6,42.1,42.75,44.67,24375256
2020-03-03,42.75,42.75,45.0,42.75,44.5,43.72,30389904
2020-03-04,44.5,44.75,44.95,43.05,44.45,44.0,24911682
2020-03-05,44.45,44.5,45.95,42.7,45.0,44.67,29076191
2020-03-06,45.0,41.65,43.2,40.95,42.35,42.46,23178204
2020-03-09,42.35,41.15,41.5,39.35,39.75,40.52,23193524
2020-03-11,39.75,39.75,40.65,37.9,38.45,39.47,29800139
2020-03-12,38.45,35.35,36.3,33.1,33.75,34.76,45672411
2020-03-13,33.75,31.2,38.15,28.05,37.4,34.49,46283334
2020-03-16,37.4,36.0,36.4,34.55,35.8,35.67,26751298
2020-03-17,35.8,36.5,37.2,34.95,35.3,36.14,28305769
2020-03-18,35.3,36.0,39.25,33.9,36.75,35.44,41813232
2020-03-19,36.75,35.0,39.4,34.3,37.2,37.22,38506335
2020-03-20,37.2,37.5,39.0,36.7,38.05,37.87,34439688
2020-03-23,38.05,35.95,37.5,34.7,35.4,36.07,18562614
2020-03-24,35.4,37.0,37.5,35.4,36.3,36.48,26937850
2020-03-25,36.3,36.0,36.35,33.15,34.3,34.25,24608412
2020-03-26,34.3,34.55,35.8,33.2,33.4,34.23,29588273
2020-03-27,33.4,34.5,35.95,33.25,33.45,34.42,30682531
2020-03-30,33.45,33.4,33.9,32.35,32.9,33.14,16723656
2020-03-31,32.9,33.7,33.7,32.2,32.35,32.67,18298389
2020-04-01,32.35,32.5,32.5,30.25,30.45,30.85,26646151
2020-04-03,30.45,30.5,30.7,29.25,29.65,29.59,20697301
2020-04-07,29.65,30.5,30.5,29.65,30.05,29.97,21962474
2020-04-08,30.05,29.9,31.6,29.4,30.5,30.69,29666254
2020-04-09,30.5,30.7,31.9,30.6,31.4,31.18,23014346
2020-04-13,31.4,31.75,31.75,30.3,31.35,30.97,16584316
2020-04-15,31.35,31.55,32.6,30.6,31.1,31.75,22095563
2020-04-16,31.1,31.1,31.5,30.55,31.05,31.08,19994398
2020-04-17,31.05,32.25,32.75,31.0,31.8,31.67,28208948
2020-04-20,31.8,32.1,33.9,31.4,32.85,32.87,41211953
2020-04-21,32.85,32.3,32.35,30.95,31.1,31.46,21858220
2020-04-22,31.1,31.0,31.25,30.2,31.1,30.81,18793922
2020-04-23,31.1,31.5,31.75,31.0,31.2,31.37,19393369
2020-04-24,31.2,30.7,31.1,30.15,30.2,30.6,14351047
2020-04-27,30.2,30.4,30.9,30.3,30.75,30.59,11950763
2020-04-28,30.75,30.8,31.35,30.7,31.25,31.11,11780170
2020-04-29,31.25,31.3,32.5,31.1,32.3,31.97,18719199
2020-04-30,32.3,32.7,33.7,32.1,32.3,32.88,31467001
2020-05-04,32.3,30.9,31.1,29.9,30.15,30.41,21841848
